Filename,AI,Comments
16800.java_0.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9775.java_1.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
721.java_2.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16732.java_3.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
310.java_4.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3064.java_5.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1436.java_7.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10208.java_8.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5075.java_9.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6032.java_10.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12916.java_11.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18939.java_12.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17899.java_13.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7723.java_14.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4266.java_15.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4574.java_16.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
13715.java_17.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1596.java_18.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17297.java_19.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14565.java_20.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3120.java_21.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11292.java_22.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
13188.java_23.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10361.java_24.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
257.java_25.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5332.java_27.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19794.java_28.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19151.java_29.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7203.java_30.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12333.java_31.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7299.java_32.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7135.java_33.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14694.java_34.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11541.java_35.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17654.java_36.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3611.java_37.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12136.java_38.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19703.java_39.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1492.java_40.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18214.java_41.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4061.java_42.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2842.java_43.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2483.java_44.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3861.java_45.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9642.java_46.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12674.java_47.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5977.java_48.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
281.java_49.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3975.java_50.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9321.java_51.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6854.java_52.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3242.java_53.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3606.java_54.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9281.java_55.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14880.java_56.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5172.java_57.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
13313.java_58.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8288.java_59.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6478.java_60.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5375.java_61.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5840.java_62.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7802.java_63.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5232.java_64.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5764.java_65.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8020.java_66.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10954.java_67.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4741.java_68.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18721.java_69.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10136.java_70.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6150.java_71.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
688.java_72.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3121.java_73.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1896.java_74.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2587.java_75.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5841.java_76.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17179.java_77.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8794.java_78.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19084.java_79.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17675.java_80.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10005.java_81.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
226.java_82.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7572.java_83.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2647.java_84.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12408.java_85.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3996.java_86.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19028.java_87.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10716.java_88.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8102.java_89.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7645.java_90.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10770.java_91.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2830.java_92.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1573.java_93.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19005.java_94.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18787.java_95.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19482.java_96.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
15073.java_97.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18231.java_98.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1961.java_99.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8419.java_100.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6395.java_101.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12057.java_102.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14877.java_104.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19267.java_105.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16882.java_106.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8940.java_107.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6731.java_108.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11195.java_109.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6839.java_110.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17361.java_111.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1262.java_112.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9731.java_113.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6853.java_114.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6283.java_115.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1679.java_116.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1623.java_117.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11130.java_118.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17409.java_119.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2959.java_120.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9577.java_121.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16103.java_122.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8380.java_123.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17570.java_124.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9816.java_125.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18376.java_126.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8393.java_127.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14520.java_128.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19239.java_129.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
915.java_130.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16549.java_131.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6929.java_132.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3736.java_133.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
779.java_134.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2556.java_135.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
15975.java_136.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7293.java_137.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14332.java_138.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4470.java_140.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3470.java_141.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3012.java_142.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2797.java_143.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19935.java_144.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3418.java_145.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9944.java_146.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16196.java_147.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18696.java_148.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8803.java_149.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19601.java_150.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
712.java_151.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3843.java_152.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17014.java_153.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7391.java_154.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14027.java_155.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12876.java_156.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11022.java_157.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9772.java_158.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3151.java_159.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14285.java_160.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
15204.java_161.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9437.java_162.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5336.java_163.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14006.java_164.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18577.java_165.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4387.java_166.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17659.java_167.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5720.java_168.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2069.java_169.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17183.java_170.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19476.java_172.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19038.java_173.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11075.java_174.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
350.java_175.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3887.java_176.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3298.java_177.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9268.java_178.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2612.java_179.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12710.java_180.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6284.java_181.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12790.java_182.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17291.java_184.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16126.java_185.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11717.java_186.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10768.java_187.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17100.java_188.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
2195.java_189.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
764.java_190.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4299.java_191.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
15785.java_192.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1131.java_193.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7939.java_194.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
7647.java_195.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18165.java_196.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19196.java_197.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5530.java_198.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
13108.java_199.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
15479.java_201.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8581.java_202.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
3100.java_203.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1588.java_204.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10531.java_205.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11624.java_206.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12372.java_207.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16257.java_208.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
13758.java_209.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12543.java_210.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12482.java_211.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4142.java_212.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
5049.java_213.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1608.java_214.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1807.java_215.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
15761.java_216.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
17776.java_217.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9809.java_218.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12265.java_219.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14192.java_220.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14596.java_221.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8196.java_223.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4865.java_224.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14008.java_225.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16908.java_226.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12765.java_227.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19364.java_228.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9565.java_229.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6197.java_230.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
12392.java_232.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9671.java_233.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
953.java_234.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
15985.java_235.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
19311.java_236.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
18773.java_237.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
8722.java_238.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
10692.java_239.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
15092.java_240.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16663.java_241.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
14354.java_243.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11038.java_244.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
16277.java_245.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9394.java_246.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
1246.java_247.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
4880.java_248.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
11749.java_249.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
6997.java_250.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
9855.java_252.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
13849.java_253.py,True,Meta-Llama-3-8B-Instruct.Q4_0.gguf
